路線,路線名稱,方向,站序,中文站點名稱,英文站點名稱,經度,緯度
綠2,太原車站 - 捷運文心森林公園站,回程,7,文心第二市政大樓,Wenxin Second Municipal Building,120.6476067,24.15939233
綠2,太原車站 - 捷運文心森林公園站,回程,8,捷運市政府站(文心路),MRT Taichung City Hall Station(Wenxin Road),120.6485617,24.1609165
綠2,太原車站 - 捷運文心森林公園站,回程,9,文心四川路口,Wenxin-Sichuan Intersection,120.6505962,24.16385038
綠2,太原車站 - 捷運文心森林公園站,回程,10,文心青海路口,Wenxin-Qinghai Intersection,120.6512562,24.16489213
綠2,太原車站 - 捷運文心森林公園站,回程,11,文心西屯路口,Wenxin-Xitun Intersection,120.652379,24.166256
綠2,太原車站 - 捷運文心森林公園站,回程,12,捷運文心櫻花站(文心路),MRT Wenxin Yinghua Station(Wenxin Road),120.654181,24.167837
綠2,太原車站 - 捷運文心森林公園站,回程,13,文心甘肅路口,Wenxin-Gansu Intersection,120.6560299,24.16931777
綠2,太原車站 - 捷運文心森林公園站,回程,14,捷運文華高中站(文心路),MRT Wenhua Senior High School Station(Wenxin Road),120.6593334,24.17095873
綠2,太原車站 - 捷運文心森林公園站,回程,15,文心河南路口,Wenxin-Henan Intersection,120.661305,24.171613
綠2,太原車站 - 捷運文心森林公園站,回程,16,重慶國小,Chongqing Elementary School,120.66361,24.172246
綠2,太原車站 - 捷運文心森林公園站,回程,17,臺灣日報,Taiwan Daily News,120.666001,24.172783
綠2,太原車站 - 捷運文心森林公園站,回程,18,文心陝西路口,Wenxin-Shanxi Intersection,120.668504,24.17326685
綠2,太原車站 - 捷運文心森林公園站,回程,19,捷運文心中清站(文心路),MRT Wenxin Zhongqing Station(Wenxin Road),120.670304,24.173463
綠2,太原車站 - 捷運文心森林公園站,回程,20,文心中清路口,Wenxin-Zhongqing Intersection,120.6719998,24.17384575
綠2,太原車站 - 捷運文心森林公園站,回程,21,文心青島東街口,Wenxin-Qingdao E. Intersection,120.6745181,24.17372047
綠2,太原車站 - 捷運文心森林公園站,回程,22,文心山西路口,Wenxin-Shanxi Intersection,120.6759531,24.17340479
綠2,太原車站 - 捷運文心森林公園站,回程,23,文心梅川西路口,Wenxin-MeiChuan W. Intersection,120.6789507,24.1729356
綠2,太原車站 - 捷運文心森林公園站,回程,24,文心國小,Wenxin Elementary School,120.6825675,24.17236637
綠2,太原車站 - 捷運文心森林公園站,回程,25,捷運文心崇德站(文心路),MRT Wenxin Chongde Station(Wenxin Road),120.684621,24.172142
綠2,太原車站 - 捷運文心森林公園站,回程,26,文心崇德路口,Wenxin-Chongde Intersection,120.6858303,24.17202638
綠2,太原車站 - 捷運文心森林公園站,回程,27,文心熱河路口,Wenxin-Rehe Intersection,120.6878874,24.17178897
綠2,太原車站 - 捷運文心森林公園站,回程,28,捷運四維國小站,MRT Sihwei Elementary School Station,120.6926023,24.17124815
綠2,太原車站 - 捷運文心森林公園站,回程,29,文心興安路口,Wenxin-Xingan Intersection,120.694665,24.171016
綠2,太原車站 - 捷運文心森林公園站,回程,30,四維國小,Sihwei Elementary School,120.6967,24.1707
綠2,太原車站 - 捷運文心森林公園站,回程,31,聯安醫院,Lian-an Hospital,120.6986698,24.17026425
